Plate No,Vehicle Type,Status
AUH-65602-18,PEUGEOT 2008 2023 2WD,Available
AUH-65603-18,PEUGEOT 2008 2023 2WD,Available
AUH-65703-18,PEUGEOT 2008 2023 2WD,Hired
AUH-65960-18,PEUGEOT 2008 2023 2WD,Available
AUH-65991-14,NISSAN SUNNY 2023 2WD,Hired
AUH-66049-18,PEUGEOT 2008 2023 2WD,Hired
AUH-66053-18,PEUGEOT 2008 2023 2WD,Hired
AUH-66083-18,PEUGEOT 2008 2023 2WD,Available
AUH-66197-18,PEUGEOT 2008 2023 2WD,Hired
AUH-66258-18,PEUGEOT 2008 2023 2WD,NotReady
AUH-66298-18,PEUGEOT 2008 2023 2WD,InWorkshop
AUH-66384-18,PEUGEOT 2008 2023 2WD,Hired
AUH-66893-17,NISSAN SUNNY 2023 2WD,Hired
AUH-66895-17,NISSAN SUNNY 2023 2WD,Hired
AUH-66901-17,NISSAN SUNNY 2023 2WD,Hired
AUH-67382-17,MITSUBISHI MIRAGE 2023 2WD,Available
AUH-67389-17,MITSUBISHI MIRAGE 2023 2WD,Hired
AUH-67982-8,"2023, PEUGEOT 3008 2023 - ACTIVE - Petrol 2WD",ForSale
AUH-68013-8,"2023, PEUGEOT 3008 2023 - ACTIVE - Petrol 2WD",ForSale
AUH-68019-8,"2023, PEUGEOT 3008 2023 - ACTIVE - Petrol 2WD",ForSale
AUH-68023-8,"2023, PEUGEOT 3008 2023 - ACTIVE - Petrol 2WD",ForSale
AUH-68025-8,"2023, PEUGEOT 3008 2023 - ACTIVE - Petrol 2WD",ForSale
AUH-68047-8,"2023, PEUGEOT 3008 2023 - ACTIVE - Petrol 2WD",Available
AUH-68053-8,"2023, PEUGEOT 3008 2023 - ACTIVE - Petrol 2WD",ForSale
AUH-68093-8,"2023, PEUGEOT 3008 2023 - ACTIVE - Petrol 2WD",ForSale
AUH-68095-8,"2023, PEUGEOT 3008 2023 - ACTIVE - Petrol 2WD",ForSale
AUH-68114-8,"2023, PEUGEOT 3008 2023 - ACTIVE - Petrol 2WD",ForSale
